trade_date,signal_datetime_et,family,futures_root,available_report_date,as_of_date,official_release_datetime_et,cftc_contract_market_code,leveraged_money_net_pct_oi,leveraged_money_crowding_percentile,crowding_observation_count,crowding_eligible,quality_status
2011-01-09,2011-01-09T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-10,2011-01-10T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-10,2011-01-10T13:00:00,NASDAQ100,NQ,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,209742,0.2023263657573232,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-10,2011-01-10T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-11,2011-01-11T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-11,2011-01-11T13:00:00,NASDAQ100,NQ,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,209742,0.2023263657573232,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-11,2011-01-11T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-12,2011-01-12T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-12,2011-01-12T13:00:00,NASDAQ100,NQ,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,209742,0.2023263657573232,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-12,2011-01-12T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-13,2011-01-13T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-13,2011-01-13T13:00:00,NASDAQ100,NQ,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,209742,0.2023263657573232,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-13,2011-01-13T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-14,2011-01-14T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-14,2011-01-14T13:00:00,NASDAQ100,NQ,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,209742,0.2023263657573232,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-14,2011-01-14T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-15,2011-01-15T13:00:00,SP500,ES,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,13874A,-0.09060362949730302,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-15,2011-01-15T13:00:00,NASDAQ100,NQ,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,209742,0.18801684954194187,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-15,2011-01-15T13:00:00,RUSSELL2000,RTY,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,23977A,-0.12034845214149045,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-16,2011-01-16T13:00:00,SP500,ES,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,13874A,-0.09060362949730302,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-16,2011-01-16T13:00:00,NASDAQ100,NQ,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,209742,0.18801684954194187,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-16,2011-01-16T13:00:00,RUSSELL2000,RTY,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,23977A,-0.12034845214149045,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-17,2011-01-17T13:00:00,SP500,ES,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,13874A,-0.09060362949730302,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-17,2011-01-17T13:00:00,NASDAQ100,NQ,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,209742,0.18801684954194187,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-17,2011-01-17T13:00:00,RUSSELL2000,RTY,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,23977A,-0.12034845214149045,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-18,2011-01-18T13:00:00,SP500,ES,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,13874A,-0.09060362949730302,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-18,2011-01-18T13:00:00,NASDAQ100,NQ,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,209742,0.18801684954194187,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-18,2011-01-18T13:00:00,RUSSELL2000,RTY,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,23977A,-0.12034845214149045,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-19,2011-01-19T13:00:00,SP500,ES,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,13874A,-0.09060362949730302,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-19,2011-01-19T13:00:00,NASDAQ100,NQ,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,209742,0.18801684954194187,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-19,2011-01-19T13:00:00,RUSSELL2000,RTY,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,23977A,-0.12034845214149045,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-20,2011-01-20T13:00:00,SP500,ES,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,13874A,-0.09060362949730302,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-20,2011-01-20T13:00:00,NASDAQ100,NQ,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,209742,0.18801684954194187,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-20,2011-01-20T13:00:00,RUSSELL2000,RTY,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,23977A,-0.12034845214149045,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-21,2011-01-21T13:00:00,SP500,ES,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,13874A,-0.09060362949730302,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-21,2011-01-21T13:00:00,NASDAQ100,NQ,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,209742,0.18801684954194187,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-21,2011-01-21T13:00:00,RUSSELL2000,RTY,2011-01-11,2011-01-11,2011-01-14T15:30:00-05:00,23977A,-0.12034845214149045,,26,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-22,2011-01-22T13:00:00,SP500,ES,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,13874A,-0.11408981114522353,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-22,2011-01-22T13:00:00,NASDAQ100,NQ,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,209742,0.18786636028042852,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-22,2011-01-22T13:00:00,RUSSELL2000,RTY,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,23977A,-0.14198575809810882,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-23,2011-01-23T13:00:00,SP500,ES,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,13874A,-0.11408981114522353,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-23,2011-01-23T13:00:00,NASDAQ100,NQ,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,209742,0.18786636028042852,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-23,2011-01-23T13:00:00,RUSSELL2000,RTY,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,23977A,-0.14198575809810882,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-24,2011-01-24T13:00:00,SP500,ES,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,13874A,-0.11408981114522353,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-24,2011-01-24T13:00:00,NASDAQ100,NQ,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,209742,0.18786636028042852,,27,False,INSUFFICIENT_104_WEEK_HISTORY
