date,family,futures_root,fund_count,expected_fund_count,total_prior_day_aum,rebalance_coefficient_t1,rebalance_coefficient_t2,prior_day_date,second_prior_day_date,contributing_tickers,data_quality,source_version
2011-01-11,SP500,ES,5,5,5622401290.94,22976297612.98,22941869474.47,2011-01-10,2011-01-07,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-12,NASDAQ100,NQ,5,5,1874065890.32,7291313512.08,7227007308.60,2011-01-11,2011-01-10,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-12,RUSSELL2000,RTY,5,5,885648187.52,3409198262.21,3441403253.82,2011-01-11,2011-01-10,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-12,SP500,ES,5,5,5612483064.42,22871981167.17,22976297612.98,2011-01-11,2011-01-10,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-13,NASDAQ100,NQ,5,5,1878804443.13,7279181825.32,7291313512.08,2011-01-12,2011-01-11,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-13,RUSSELL2000,RTY,5,5,889275941.07,3416756780.06,3409198262.21,2011-01-12,2011-01-11,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-13,SP500,ES,5,5,5615228262.39,22830872581.15,22871981167.17,2011-01-12,2011-01-11,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-14,NASDAQ100,NQ,5,5,1879337143.23,7280404025.83,7279181825.32,2011-01-13,2011-01-12,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-14,RUSSELL2000,RTY,5,5,891297190.71,3430096278.23,3416756780.06,2011-01-13,2011-01-12,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-14,SP500,ES,5,5,5618879361.39,22875464775.59,22830872581.15,2011-01-13,2011-01-12,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-18,NASDAQ100,NQ,5,5,1883847696.48,7251946341.45,7280404025.83,2011-01-14,2011-01-13,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-18,RUSSELL2000,RTY,5,5,915549694.41,3567430296.98,3430096278.23,2011-01-14,2011-01-13,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-18,SP500,ES,5,5,5601301408.50,22677412884.89,22875464775.59,2011-01-14,2011-01-13,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-19,NASDAQ100,NQ,5,5,1911655897.44,7294337546.04,7251946341.45,2011-01-18,2011-01-14,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-19,RUSSELL2000,RTY,5,5,917944694.46,3572176297.22,3567430296.98,2011-01-18,2011-01-14,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-19,SP500,ES,5,5,5593397573.66,22678065218.41,22677412884.89,2011-01-18,2011-01-14,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-20,NASDAQ100,NQ,5,5,1904149442.73,7328756823.09,7294337546.04,2011-01-19,2011-01-18,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-20,RUSSELL2000,RTY,5,5,928093432.86,3679076737.62,3572176297.22,2011-01-19,2011-01-18,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-20,SP500,ES,5,5,5625000417.66,22996070884.84,22678065218.41,2011-01-19,2011-01-18,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-21,NASDAQ100,NQ,5,5,1894735439.63,7325480808.16,7328756823.09,2011-01-20,2011-01-19,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-21,RUSSELL2000,RTY,5,5,935531678.32,3723238215.06,3679076737.62,2011-01-20,2011-01-19,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-21,SP500,ES,5,5,5604994752.63,22981243552.14,22996070884.84,2011-01-20,2011-01-19,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-24,NASDAQ100,NQ,5,5,1882723886.52,7359137493.48,7325480808.16,2011-01-21,2011-01-20,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-24,RUSSELL2000,RTY,5,5,966572925.84,3975920702.92,3723238215.06,2011-01-21,2011-01-20,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
